id,question,constituency,vote_count_yes,vote_count_no,created_at,explainer
33,Should the public have a legal right to trigger a Vote of No Confidence to sack the government before an election?,Vote of No Confidence,2944,685,2026-03-31 17:56:54.968383+00,"Currently, only MPs can trigger a Vote of No Confidence in the government—the public has no formal mechanism to do so. The UK has fixed-term parliament rules (since 2022) requiring a general election every 5 years, meaning governments serve full terms regardless of public opinion between elections. This matters because major policy shifts or crises can occur mid-term with no public way to force accountability before the scheduled election date."
34,Has Keir Starmer done enough to keep your trust as Prime Minister?,Starmer's Leadership,860,1481,2026-03-31 17:56:54.968383+00,"Starmer took office in July 2024 after 14 years of Conservative government. Key early decisions included winter fuel payment cuts affecting pensioners, continued strikes in public services, and economic growth remaining sluggish. Trust matters because voters need confidence their PM can deliver on priorities like NHS waiting times, cost of living, and jobs—metrics that directly affect household finances and services."
35,Would you vote for Nigel Farage as Prime Minister if an election were held tomorrow?,Reform UK Surge,621,1184,2026-03-31 17:56:54.968383+00,"Reform UK won 4.1 million votes in the 2024 general election but secured only one MP due to the first-past-the-post voting system. Farage leads a party that didn't exist in its current form until 2022, with limited parliamentary representation and no track record in government. His potential electability depends on whether Reform can convert protest votes into constituency wins in future elections."
36,Should the UK continue military strikes in the Middle East alongside the US?,Middle East Airstrikes,525,2930,2026-03-31 17:56:54.968383+00,"The UK has conducted airstrikes in Iraq and Syria since 2014 against ISIS and, more recently, Iranian-backed groups. RAF jets operate as part of US-led coalitions, with Parliament voting to authorize strikes in Iraq (2014) and Syria (2015). Military operations affect UK defence spending, international relations, and risk of blowback attacks on British soil or personnel."
37,Should we ban all political donations from oil and gas companies?,Oil & Gas Lobbying,1323,750,2026-03-31 17:56:54.968383+00,"UK oil and gas companies donated £3.1m to political parties in 2022, while their industry receives billions in subsidies and tax breaks. Currently, there's no ban on these donations, though some countries restrict them. Energy policy directly affects household bills, investment in renewables, and climate targets—so who funds politicians influences these decisions."
38,Should the government stop raising hidden taxes by keeping income tax thresholds frozen?,The Tax Trap,1805,515,2026-03-31 17:56:54.968383+00,"The personal allowance (amount you can earn tax-free) has been frozen at £12,570 since 2021, so pay rises push more people into higher tax bands without their salaries actually becoming more valuable. This 'fiscal drag' means the government collects more tax without changing rates, raising £15bn+ annually. For workers with modest pay rises, it eats into real wages and affects around 3 million more people than five years ago."
39,Should the government cancel the rise in Employer National Insurance to save small businesses?,National Insurance Hike,2938,686,2026-03-31 17:56:54.968383+00,"The government increased employer National Insurance contributions from 8% to 10% in April 2024, raising £25bn annually for public services. Businesses, particularly those with tight margins, face higher wage costs with no offsetting support. This affects take-home pay negotiations, hiring decisions, and whether firms can absorb costs or pass them to consumers through price rises."
42,Should the UK reverse the ban on new North Sea oil and gas licences to lower energy bills?,North Sea Drilling,2388,1592,2026-03-31 17:56:54.968383+00,"UK energy bills spiked after Russia's 2022 invasion disrupted global gas supplies, with average household bills hitting £1,738 annually. The government banned new North Sea oil and gas licences in 2023 as part of climate commitments, though existing fields continue operating. Energy costs directly affect household budgets and business competitiveness, making supply and climate policy trade-offs material to people's finances."
44,Should any MP found lying in Parliament be immediately banned from the House of Commons for life?,MP Conduct,1842,294,2026-03-31 17:56:54.968383+00,"MPs can currently be suspended for up to 10 days by Parliament; longer bans require a two-thirds majority vote. The Standards Committee investigates misconduct, but no automatic lifetime ban exists for lying. This matters because Parliament's credibility depends on accountability, yet current rules mean consequences vary wildly depending on who votes and when."
45,Should the government be legally forced to stick to a specific cap on the number of people entering the UK?,Immigration Targets,2595,999,2026-03-31 17:56:54.968383+00,"Net migration to the UK hit 745,000 in 2023, the highest on record, driven by asylum seekers, work visas, and students. Currently there's no legal cap—the government sets targets but isn't bound by law to meet them. This matters because rapid population growth strains housing, NHS waiting times, and school places in many areas, while others depend on migrant workers and their tax contributions."
49,Should Scotland and Wales have the power to block laws passed in London?,Local Sovereignty,1072,2317,2026-03-31 17:56:54.968383+00,"Scotland and Wales have devolved powers over health, education, and housing, but Westminster can still pass laws affecting these areas. Currently, they can't block UK-wide legislation, though they can refuse to implement some policies differently. This matters because decisions on taxes, benefits, and NHS funding made in London directly affect Scottish and Welsh services and budgets."
50,Should we remove all green levies from energy bills until the cost of living crisis is over?,The Green Tax,2096,893,2026-03-31 17:56:54.968383+00,"Green levies on energy bills fund renewable energy infrastructure and climate programmes, currently adding around 10-15% to typical bills. The government temporarily reduced some levies in 2022-23 but most have been reinstated as funding for the transition away from fossil fuels. Removing them entirely would save households money short-term but delay renewable energy investment needed to reduce long-term energy costs and emissions."
52,Should any law that costs more than £10 billion be put to a public Yes/No vote before it passes?,Referendum Rights,1423,580,2026-03-31 17:56:54.968383+00,"Major UK laws currently pass through Parliament without separate public votes, regardless of cost or impact. Switzerland uses mandatory referendums for laws above spending thresholds, while the UK has held ad-hoc referendums on EU membership and Scottish independence. Public decision-making on expensive policies directly affects taxes, services, and who bears the costs."
53,"Should the government put an emergency price cap on basic foods like bread, milk and butter?",Cost of Living,3080,433,2026-03-31 18:16:17.212051+00,"Food price inflation hit 19.2% in early 2023, with staples like bread and milk significantly above overall inflation rates. The UK currently uses a broader energy price cap but not food price controls; other countries like France have trialled targeted food subsidies. Household budgets are stretched as food now takes a larger share of spending, particularly affecting lower-income families."
55,Should the government immediately restore the winter fuel payment to all pensioners?,Winter Fuel,2260,511,2026-03-31 18:16:17.212051+00,"The government removed the universal winter fuel payment in September 2024, meaning only pensioners on certain benefits now receive it instead of all over-65s. Around 10 million pensioners lost the £200-£300 annual payment. Fuel bills remain high, and many low-income pensioners now face difficult choices between heating and other essentials during winter months."
56,Should all green levies be removed from energy bills until the cost of living crisis is over?,Net Zero Costs,2020,981,2026-03-31 18:16:17.212051+00,"Green levies add roughly £150-200 yearly to typical energy bills, funding renewable energy and efficiency upgrades. The government temporarily reduced some levies in 2022-23 but most have returned as energy prices remain volatile. These costs matter because energy bills affect household budgets directly, yet removing levies could delay renewable infrastructure needed for long-term energy security and lower bills."
59,Should the government protect NHS and Welfare spending even if it means cutting the Defense budget?,Defense Spending,2293,1970,2026-03-31 18:16:17.212051+00,"The UK government has limited budget, so spending increases in one area typically require cuts elsewhere. Defense spending is currently £46.7bn annually while NHS funding faced real-terms cuts 2010-2020, though both have increased recently. Budget choices directly affect waiting times, military readiness, and tax rates, making trade-offs between these services a genuine governing challenge."
