id,oppose_explanation
1,"- Potential costs of implementing safety measures may be significant and could be better spent on other road safety priorities elsewhere in the UK
- Slip road modifications could temporarily disrupt traffic during construction, affecting commuters and local businesses in the area
- Concerns that localized bills set a precedent for numerous similar bills from other regions seeking targeted road improvements
- Uncertainty about whether proposed measures will be cost-effective or actually reduce accidents without independent safety impact assessments being made public"
2,"Voting against this bill means you want to keep business rates as they are. Opponents worry that losing this tax would cost the government billions of pounds, potentially meaning less money for schools, hospitals, and services - and someone else might have to pay more tax instead."
10,"Voting to oppose this bill means you have concerns about the law as written. Opponents might worry about how it would be enforced, whether it could limit women's privacy rights, or question if it's the right way to address sex-selection issues."
13,"- Raises election security concerns, as expanded postal voting could increase risks of ballot tampering, postal theft, or coercion of voters in home environments compared to controlled polling station settings
- May create administrative costs and complexity for electoral commissions in Scotland and Wales, requiring additional staff, resources, and systems to process and verify larger volumes of absent votes
- Could reduce the traditional civic experience of voting in person at polling stations and weaken community participation in the democratic process on election day
- Risks disproportionately benefiting certain groups (such as those with stable addresses and reliable postal services) while potentially disadvantaging vulnerable populations like rough sleepers or those in unstable housing"
20,"[""- May introduce unfair positive discrimination: opponents argue that allocating specific funding pots or preferential lending terms based on gender rather than business merit could disadvantage equally-qualified male entrepreneurs and create legal challenges around equality law"",""- Could increase costs for financial institutions: mandatory reporting, diversity targets, and new loan guarantee schemes may raise administrative and operational costs, potentially passed on to all customers through higher fees or interest rates"",""- Risks creating artificial markets: government-backed schemes may prop up businesses that wouldn't survive commercial lending scrutiny, potentially wasting public money on ventures with poor long-term viability regardless of the owner's gender"",""- May not address the root cause: critics argue the funding gap reflects differences in business sector choice, experience, and risk profile rather than pure discrimination, so gender-based finance programs don't address underlying factors and may mask poor business planning""]"
33,"- Reduces investment incentives for network operators who bear the cost of building infrastructure but must then share access at regulated rates, potentially slowing deployment of next-generation 5G and fiber networks
- Creates regulatory complexity and compliance costs for established operators, who must manage shared access, billing disputes, and technical disputes with multiple competing users on their networks
- May lead to inadequate maintenance and network quality if operators have reduced revenue from forced wholesale pricing, potentially harming service reliability for all users
- Risks picking winners and losers in the market by artificially protecting smaller competitors rather than allowing natural market competition, and may burden taxpayers through increased regulatory oversight costs"
48,"Voting against this bill means you have concerns about the plan. People might worry about losing business space, whether conversions are actually affordable long-term, or whether forcing conversions could harm high streets and local economies."
50,"- May delay or divert resources from practical support and integration services that Afghan refugees currently need, as government focus and funding shifts toward running a lengthy public inquiry
- Could expose operational details of resettlement schemes and security procedures that might be exploited by hostile actors or compromised in future crises if inquiry findings become public
- Risks being costly and time-consuming for taxpayers while the affected individuals may see limited practical benefit, as inquiries often take years to complete and produce limited actionable change
- May discourage future participation in humanitarian schemes if individuals fear their data could be breached and subsequently scrutinised through public inquiries, undermining trust in government resettlement programmes"
51,"Voting to oppose this bill means you have concerns about how age-checking would work in practice. Opponents worry about privacy risks (personal data being collected and stored), the cost to businesses, whether it would actually be effective, and whether it could exclude adults who can't easily prove their age."
62,"[""- Threatens food production by enabling conversion of high-quality agricultural land to non-farming uses, reducing the amount of productive farmland available for future generations"",""- Weakens environmental protections by removing safeguards that prevent development in sensitive rural areas, potentially damaging wildlife habitats, soil quality, and countryside character"",""- Increases urban sprawl and loss of green space by making it easier to build on agricultural land near towns and cities, conflicting with efforts to preserve the countryside"",""- Creates unfair advantages for wealthy landowners who can profit from development, while potentially disadvantaging smaller farmers and affecting food price stability through reduced domestic production capacity""]"
84,"Voting against this bill means you have concerns about the changes. Critics might argue it adds costs for breweries and producers, could be seen as over-regulation, or worry that warnings alone won't change drinking habits."
97,"- Places significant compliance costs on smaller, independent shelters and rescue charities that may struggle with licensing fees, inspections, and administrative burdens, potentially forcing closures
- Creates bureaucratic delays in licensing that could prevent rapid emergency response to animal crises or delay opening of new facilities in areas with high shelter need
- Risks giving excessive regulatory power to local authorities with varying standards, leading to inconsistent application across the UK and unfair treatment of some operators
- May not address root causes of animal abandonment and shelter overcrowding, instead placing regulatory burden on rescuers while demand-side problems remain unsolved"
100,"- Creates bureaucratic barriers and significant costs for UK citizens wanting to relocate with pets or adopt rescue animals from abroad, making it more expensive and time-consuming to bring pets into the country
- May inadequately address root causes by focusing on import restrictions rather than tackling poor welfare standards in source countries through international cooperation and enforcement
- Could disadvantage rescue organisations that rehome animals internationally, potentially reducing opportunities for abandoned or mistreated animals abroad to find UK homes
- Places enforcement burden on understaffed animal health officials and Border Force, risking ineffective implementation if resources aren't adequately allocated to check all imports"
105,"[""- Could unfairly penalise owners of dogs with genuine behavioral problems due to factors beyond their control (illness, rescue trauma, genetic predisposition), creating disproportionate liability"",""- May increase insurance costs for dog owners or make pet insurance prohibitively expensive, particularly affecting lower-income households and rescue dog adoption rates"",""- Creates enforcement challenges: determining fault in dog attacks is often complex and disputed, potentially leading to costly legal battles between owners with no clear outcome"",""- Risks placing excessive responsibility on owners for unpredictable animal behavior, even when reasonable precautions were taken, rather than addressing broader public safety and dog management infrastructure""]"
116,"[""- Delays critical medical breakthroughs: Animal models remain essential for understanding complex diseases and safety-testing new treatments before human trials; an immediate ban could slow development of life-saving cancer drugs, vaccines, and surgical techniques."",""- Creates regulatory and competitive disadvantage: UK researchers and pharmaceutical companies would be unable to conduct animal research while international competitors continue, potentially driving investment and jobs overseas and reducing UK leadership in medical innovation."",""- Current alternatives are incomplete: While replacement technologies are developing, they cannot yet fully replicate the complexity of whole-organism biology; alternative methods cannot currently validate safety and efficacy across all medical areas, potentially endangering patients."",""- Contradicts legal obligations: EU and international regulations (including those the UK has adopted) currently require animal testing for certain drug approvals; a unilateral UK ban could prevent UK-developed medicines from being approved or sold internationally without major regulatory changes.""]"
122,"[""- Reduces public transparency and accountability over police investigations, potentially allowing authorities to conduct investigations without appropriate public scrutiny or awareness of police conduct"",""- May hinder crime prevention by preventing the public from identifying and reporting information about suspects, particularly in cases involving serious or violent offences where public cooperation is crucial"",""- Could disadvantage crime victims and their families by restricting their ability to publicly identify those accused of harming them, limiting their voice in the justice process"",""- Creates practical enforcement challenges in the age of social media and internet archives, as suppressing information online may prove ineffective once details are shared, shifting the burden unfairly onto media outlets while information circulates freely on unregulated platforms""]"
126,"Critics worry the Act gives authorities too much power to stop people without enough checks, which could unfairly target certain groups. They're also concerned it removes some legal protections people normally have, and that vague terms like 'anti-social behaviour' could be used too broadly."
138,"People might oppose it if they disagree with how the government is spending money - for example, if they think too much is spent on certain departments or if they believe the money should be used differently during an economic crisis."
141,"[""- Removes access to court oversight for ordinary citizens and small businesses who may lack resources to navigate arbitration fairly, potentially favouring larger, more experienced parties with legal teams"",""- Reduces transparency and public accountability since arbitration hearings are private, meaning unfair practices or precedents cannot be scrutinised by the public or influence future case law in the public interest"",""- May weaken consumer and worker protections if arbitration clauses in contracts prevent individuals from taking claims to court or collective action, particularly in employment and consumer rights disputes"",""- Creates inconsistency in dispute resolution outcomes since arbitrators' decisions are largely final with limited appeal rights, whereas court decisions can be reviewed and contribute to consistent legal principles that protect everyone equally""]"
