id,support_explanation
1,"- Reducing accidents and injuries on slip roads that may have a history of safety incidents affecting local residents and road users
- Improving traffic flow and reducing congestion that may contribute to dangerous driving conditions on these sections of the A34
- Enhancing local road infrastructure in East Ilsley and Beedon, which may have broader economic and quality-of-life benefits for the community
- Addressing a localized safety problem through targeted legislation rather than generic national road safety policies"
2,"Voting to support this bill means you want to get rid of business rates - the tax that shops, offices, and factories pay on their buildings. Supporters believe this would help businesses save money, create more jobs, and encourage investment in high streets and town centres."
10,Voting to support this bill means you want to make it illegal for doctors to perform an abortion based on the sex of the baby. Supporters believe this protects against gender-based discrimination and ensures abortions aren't used to select for male or female babies.
13,"- Increases voter participation by removing barriers for people who work long hours, have caring responsibilities, or are temporarily away from home during elections, ensuring their voices are heard in Scottish and Welsh elections
- Reduces pressure on polling stations on election day by distributing voting across a longer period, leading to shorter queues and faster processing for those voting in person
- Improves accessibility for disabled voters, elderly citizens, and those with mobility issues who find it difficult or impossible to attend polling stations
- Simplifies the absent voting application process, reducing bureaucratic hurdles and making it faster for eligible voters to register for postal or proxy votes"
20,"[""- Addresses a persistent economic inequality: women-led businesses receive approximately 2% of venture capital funding despite representing a significant portion of new business formation, so targeted finance access could unlock economic growth and job creation"",""- Increases accountability through mandatory reporting: requiring financial institutions to publish lending data disaggregated by gender creates transparency and allows regulators to identify and challenge discriminatory practices"",""- Generates broader economic benefits: evidence suggests women reinvest profits into communities at higher rates than men, so improving their access to capital could strengthen local economies and social outcomes"",""- Removes information barriers: providing dedicated mentoring and financial guidance to women entrepreneurs addresses knowledge gaps that may disadvantage them when applying for traditional business loans""]"
27,"Voting to support this bill means you believe children with life-limiting illnesses should have better access to palliative care (treatment focused on comfort rather than cure). If it passes, it would aim to improve how the NHS provides pain relief and support services for seriously ill children and their families."
33,"- Increases competition by allowing new telecom providers to enter the market without building duplicate networks from scratch, reducing infrastructure costs and time to market
- Lowers broadband prices for consumers by enabling competing providers to offer services in areas currently served by single operators, preventing monopoly pricing
- Accelerates rural broadband rollout by allowing multiple providers to share one network infrastructure rather than duplicating expensive fiber installations across the countryside
- Encourages innovation in telecom services and packages as smaller, specialized providers can compete on service quality and customer focus rather than capital investment alone"
39,"A vote to support this bill means you think energy companies shouldn't be allowed to charge customers extra fees just for paying their bills in ways other than direct debit (like paying by card or cheque). If it passes, it would cap how much companies can charge for non-direct debit payments, making bills fairer for people who can't or prefer not to use direct debit."
40,"Voting for this bill means you want to improve support for people who adopt children. If it passes, adoptive parents would likely get better leave from work, pay during that leave, and financial help to look after their new children - similar to what biological parents receive."
42,"Supporting this Act means backing the creation of ARIA (Advanced Research and Invention Agency), a new organisation that funds cutting-edge scientific research in the UK. It aims to help British scientists and inventors develop breakthrough discoveries that could solve major problems and keep the UK competitive in technology and innovation globally."
43,"Voting to support this bill means you want adventure and gap year companies (like those offering expeditions, travel programmes, or outdoor activities) to be officially checked and approved by the government. If it passes, these companies would have to meet safety standards and be inspected regularly, which supporters believe would protect young people from unsafe or poor-quality providers."
45,"Voting to support this bill means you want to help more people afford to buy homes. If it passes, the government would likely introduce new schemes or policies to make house-buying more affordable for ordinary people, such as special loans, grants, or lower deposit requirements."
46,"Voting to support this bill means you want the government to take action to make housing more affordable for people. If it passes, the bill would introduce measures to help people struggling with high house prices or rents - such as building more affordable homes or helping first-time buyers."
49,"Voting to support this bill means you want to lower the threshold for requiring affordable housing from developments. If it passes, smaller housing projects (around 10 units instead of larger ones) would have to include affordable homes, making it easier for lower-income people to find affordable places to live."
50,"- Provides transparency and answers to thousands of Afghan refugees and their families whose personal information may have been exposed, helping them understand what data was breached and the security lapses that occurred
- Establishes independent oversight of government and partner organisations handling sensitive resettlement data, ensuring failures are properly investigated rather than internally reviewed
- Creates a formal record of what went wrong with data security systems, enabling lessons to be learned and preventing similar breaches in future humanitarian resettlement operations
- Holds public bodies and contractors accountable through an independent process, potentially leading to compensation claims and systemic reforms to data handling procedures"
51,Voting to support this bill means you want to set minimum standards for how websites and services check people's ages online. Supporters believe this protects children from accessing age-restricted content (like adult sites or gambling) by making age-checking more reliable and consistent across the internet.
60,"Voting for this bill means you want to help people with Age-Related Macular Degeneration (AMD), a disease that causes sight loss in older people. If it passes, the NHS would likely improve treatments, screening, or support services for people suffering from this condition."
62,"[""- Enables rural economic growth by allowing farmers and rural communities to diversify income through permitted development on their own land, without lengthy planning delays"",""- Reduces bureaucratic burden on agricultural businesses by streamlining planning processes for farm-related buildings, infrastructure, and small-scale rural enterprises"",""- Supports food security by allowing necessary agricultural expansion, modernisation of farming infrastructure, and investment in productive capacity without restrictive planning constraints"",""- Empowers landowners to make efficient use of their property and generate revenue through development opportunities previously blocked by overly rigid planning restrictions""]"
69,"Voting to support this bill means you want the government to take action to reduce pollution from diesel vehicles in city centres. If it passes, the government would likely introduce measures like charging fees for older diesel cars or creating low-emission zones where polluting vehicles are restricted."
82,"Voting to support this bill means you want the government to set a minimum price for alcohol drinks. Supporters believe this would reduce alcohol-related health problems and crime by making cheap alcohol more expensive, especially helping people who struggle with addiction."
86,"Voting to support this bill means you want stricter rules on how alcohol is advertised. If it passes, alcohol companies would face new limits on where, when, and how they can advertise their products - likely to reduce exposure to young people and protect public health."
94,"Voting to support this bill means you want the government to create and maintain an up-to-date list of all ancient woodlands in England. This would help protect these valuable forests from being damaged or destroyed, as they're home to rare wildlife and have existed for hundreds of years."
97,"- Establishes minimum welfare standards that all shelters must meet, preventing neglect and abuse in facilities that currently operate without oversight
- Creates a transparent system where the public can identify licensed, trustworthy shelters when adopting animals, reducing risk of supporting irresponsible operators
- Improves animal outcomes by requiring staff training and proper facilities, leading to better health care, socialisation, and rehoming success rates
- Gives enforcement agencies legal grounds to close down dangerous or exploitative facilities that currently operate in regulatory gaps"
100,"- Reduces the spread of rabies and other serious diseases by ensuring all imported pets meet vaccination and health certificate requirements, protecting both imported animals and UK pets
- Tackles puppy smuggling and illegal breeding operations by requiring proper documentation and veterinary checks, improving conditions for animals bred in poor circumstances
- Prevents the import of animals with serious health or welfare issues by mandating health inspections and age restrictions, ensuring higher welfare standards for imported pets
- Protects UK domestic pet breeders and rescue services from unfair competition with inadequately regulated imports, supporting local animal welfare industry"
