id,plain_summary
2,"This bill proposes to abolish business rates, which is a yearly tax based on the estimated rental value of non-residential buildings like shops and offices. If passed, businesses would no longer pay this tax, but the government would need to find another way to replace the lost money."
7,"This bill would modify the current abortion law in England and Wales. It aims to prevent abortions being carried out solely because the unborn baby is expected to have a disability, treating disability as equal to non-disability in the eyes of the law. The bill is controversial because it affects a woman's right to choose and doctors' ability to provide medical advice."
10,"This bill would make it a criminal offense for doctors to knowingly perform an abortion when the main reason is the sex of the unborn baby. It aims to prevent sex-selective abortion, which some people believe happens in certain communities."
13,"This bill reforms absent voting procedures for elections held in Scotland and Wales, making it easier for eligible voters to cast ballots when they cannot attend polling stations in person. The legislation likely expands access to postal votes, proxy votes, or early in-person voting options, and may streamline the application process or extend eligibility criteria. These changes aim to increase voter participation and accommodate people with work commitments, disabilities, caring responsibilities, or those living away from their registered address during election periods."
15,"The Academies Act 2010 allows schools to become 'academies' - schools run independently from local councils but still funded by the government. These schools have more freedom to make their own decisions about what they teach, how they spend money, and who they employ, instead of following council rules."
18,This bill asks Parliament to create and publish a report examining the Access to Elected Office Fund - a scheme designed to help people who couldn't otherwise afford to stand for election. The report would look at how well the fund is working and whether it's actually helping people from poorer backgrounds become MPs or councillors.
20,"This bill aims to improve female entrepreneurs' access to business finance by introducing measures to address the well-documented funding gap between male and female-led businesses. The legislation likely includes requirements for lenders and financial institutions to report on their lending practices to women-owned businesses, potentially mandating diversity targets or enhanced support schemes. It may also establish government-backed loan guarantees or grants specifically for women entrepreneurs, and require banks to provide tailored financial advice and mentoring. The bill seeks to remove structural barriers that have historically resulted in women receiving smaller loans and facing higher rejection rates compared to male applicants."
28,This bill aims to make palliative care (treatment that focuses on comfort rather than cure) more available and accessible to children across the UK who have life-limiting or life-threatening illnesses. It seeks to ensure these children and their families can get the support and pain relief they need without unnecessary delays or barriers.
40,"This bill aims to give adoptive parents fairer treatment when they take time off work to care for their new children. It would provide statutory leave, pay during that leave, and allowances for adoptive parents - bringing their entitlements closer to those given to parents who have biological children."
42,"This Act creates ARIA, a new government agency designed to fund ambitious, high-risk scientific research projects that might not get traditional funding. It operates with more freedom than typical government bodies, aiming to speed up innovation in areas like technology, medicine, and engineering."
45,"This bill aims to make it easier and cheaper for UK citizens to buy their own homes. It would introduce measures to help people overcome barriers like saving for a large deposit or getting a mortgage, particularly targeting first-time buyers and lower-income households."
51,"This bill aims to create consistent rules for how online platforms verify users' ages to prevent children accessing age-restricted content and services. It would require websites and apps to use reliable age-assurance methods (like ID checks or other verification), rather than just asking 'Are you over 18?' with no verification."
57,"This bill would change the age at which young people can be charged and tried as criminals in the UK. It aims to treat younger children differently in the justice system, potentially moving them away from adult courts and towards more educational or rehabilitation-focused approaches instead."
60,"This bill aims to address Age-Related Macular Degeneration, an eye condition affecting older people that can lead to blindness. It would probably improve how the NHS treats, diagnoses, or supports patients with AMD, though the exact details aren't fully clear at this stage."
62,"The Agricultural Land (Planning) Bill modifies planning regulations to affect how agricultural land can be developed or protected in the UK. It likely adjusts the rules governing when farmers can build on their land, how planning permission is assessed for agricultural projects, or what protections exist for productive farmland. The bill aims to balance agricultural productivity, rural development needs, and environmental considerations through changes to the planning system. Specific measures would determine whether this makes it easier or harder to develop agricultural land for non-farming purposes."
86,"This bill aims to control alcohol advertising to make it less attractive and accessible to young people. It would introduce new rules about where alcohol ads can appear (like on TV, online, or billboards) and how they can be designed, with the goal of protecting children's health and reducing alcohol-related problems."
88,"This Act is a specific law dealing with Allhallows Staining Church in the City of London. It sets out rules for how the church should be managed, looked after, and governed, protecting the building as a historic monument and ensuring its long-term care."
97,"This bill introduces a mandatory licensing system for animal shelters across the UK, requiring facilities to meet set standards before operating legally. Shelters would need to demonstrate compliance with animal welfare requirements, staffing qualifications, and operational practices verified through regular inspections. The system aims to prevent substandard facilities from operating and protect animals in care by establishing consistent, enforceable minimum standards. Local authorities or a designated regulator would oversee licensing, with powers to refuse or revoke licenses for non-compliance."
100,"This bill introduces stricter controls on importing dogs, cats, and ferrets into the UK to protect animal welfare and public health. It requires pets to meet specific health and vaccination standards before entry, restricts imports from high-risk countries, and aims to crack down on illegal puppy smuggling. The legislation replaces previous EU regulations that no longer apply post-Brexit and establishes new UK-specific import rules enforced by animal health officials."
105,"This bill establishes clear legal responsibility for dog owners whose dogs attack other dogs. It aims to clarify liability, compensation, and potentially criminal accountability when a dog injures or kills another person's dog. The bill would likely create a framework for determining fault, enforcing financial compensation for veterinary costs and losses, and may introduce penalties for owners who fail to control their animals. This addresses a current legal grey area where victims of dog-on-dog attacks often struggle to obtain justice or compensation."
117,"This bill would give arrested people anonymity - meaning their names, faces, and details would not be revealed to the public or media until they are officially charged with a crime. Currently, police can name arrested people straight away, but this bill would change that."
